FieldID,CodingName,FigureName,Type,Label,Include
23595,cholesterol_to_total_lipids_in_medium_vldl_percentage,cholesterol_to_total_lipids_in_medium_vldl_percentage,Metabolic,Cholesterol : lipids in M-VLDL%,0
23596,cholesteryl_esters_to_total_lipids_in_medium_vldl_percentage,cholesteryl_esters_to_total_lipids_in_medium_vldl_percentage,Metabolic,Cholesteryl esters : lipids in M-VLDL%,0
23597,free_cholesterol_to_total_lipids_in_medium_vldl_percentage,free_cholesterol_to_total_lipids_in_medium_vldl_percentage,Metabolic,Free cholesterol : lipids in M-VLDL%,0
23598,triglycerides_to_total_lipids_in_medium_vldl_percentage,triglycerides_to_total_lipids_in_medium_vldl_percentage,Metabolic,Triglycerides : lipids in M-VLDL%,0
23599,phospholipids_to_total_lipids_in_small_vldl_percentage,phospholipids_to_total_lipids_in_small_vldl_percentage,Metabolic,Phospholipids : lipids in S-VLDL%,0
23600,cholesterol_to_total_lipids_in_small_vldl_percentage,cholesterol_to_total_lipids_in_small_vldl_percentage,Metabolic,Cholesterol : lipids in S-VLDL%,0
23601,cholesteryl_esters_to_total_lipids_in_small_vldl_percentage,cholesteryl_esters_to_total_lipids_in_small_vldl_percentage,Metabolic,Cholesteryl esters : lipids in S-VLDL%,0
23602,free_cholesterol_to_total_lipids_in_small_vldl_percentage,free_cholesterol_to_total_lipids_in_small_vldl_percentage,Metabolic,Free cholesterol : lipids in S-VLDL%,0
23603,triglycerides_to_total_lipids_in_small_vldl_percentage,triglycerides_to_total_lipids_in_small_vldl_percentage,Metabolic,Triglycerides : lipids in S-VLDL%,0
23604,phospholipids_to_total_lipids_in_very_small_vldl_percentage,phospholipids_to_total_lipids_in_very_small_vldl_percentage,Metabolic,Phospholipids : lipids in VS-VLDL%,0
23605,cholesterol_to_total_lipids_in_very_small_vldl_percentage,cholesterol_to_total_lipids_in_very_small_vldl_percentage,Metabolic,Cholesterol : lipids in VS-VLDL%,0
23606,cholesteryl_esters_to_total_lipids_in_very_small_vldl_percentage,cholesteryl_esters_to_total_lipids_in_very_small_vldl_percentage,Metabolic,Cholesteryl esters : lipids in VS-VLDL%,0
23607,free_cholesterol_to_total_lipids_in_very_small_vldl_percentage,free_cholesterol_to_total_lipids_in_very_small_vldl_percentage,Metabolic,Free cholesterol : lipids in VS-VLDL%,0
23608,triglycerides_to_total_lipids_in_very_small_vldl_percentage,triglycerides_to_total_lipids_in_very_small_vldl_percentage,Metabolic,Triglycerides : lipids in VS-VLDL%,0
23609,phospholipids_to_total_lipids_in_idl_percentage,phospholipids_to_total_lipids_in_idl_percentage,Metabolic,Phospholipids : lipids in IDL%,0
23610,cholesterol_to_total_lipids_in_idl_percentage,cholesterol_to_total_lipids_in_idl_percentage,Metabolic,Cholesterol : lipids in IDL%,0
23611,cholesteryl_esters_to_total_lipids_in_idl_percentage,cholesteryl_esters_to_total_lipids_in_idl_percentage,Metabolic,Cholesteryl esters : lipids in IDL%,0
23612,free_cholesterol_to_total_lipids_in_idl_percentage,free_cholesterol_to_total_lipids_in_idl_percentage,Metabolic,Free cholesterol : lipids in IDL%,0
23613,triglycerides_to_total_lipids_in_idl_percentage,triglycerides_to_total_lipids_in_idl_percentage,Metabolic,Triglycerides : lipids in IDL%,0
23614,phospholipids_to_total_lipids_in_large_ldl_percentage,phospholipids_to_total_lipids_in_large_ldl_percentage,Metabolic,Phospholipids : lipids in L-LDL%,0
23615,cholesterol_to_total_lipids_in_large_ldl_percentage,cholesterol_to_total_lipids_in_large_ldl_percentage,Metabolic,Cholesterol : lipids in L-LDL%,0
23616,cholesteryl_esters_to_total_lipids_in_large_ldl_percentage,cholesteryl_esters_to_total_lipids_in_large_ldl_percentage,Metabolic,Cholesteryl esters : lipids in L-LDL%,0
23617,free_cholesterol_to_total_lipids_in_large_ldl_percentage,free_cholesterol_to_total_lipids_in_large_ldl_percentage,Metabolic,Free cholesterol : lipids in L-LDL%,0
23618,triglycerides_to_total_lipids_in_large_ldl_percentage,triglycerides_to_total_lipids_in_large_ldl_percentage,Metabolic,Triglycerides : lipids in L-LDL%,0
23619,phospholipids_to_total_lipids_in_medium_ldl_percentage,phospholipids_to_total_lipids_in_medium_ldl_percentage,Metabolic,Phospholipids : lipids in M-LDL%,0
23620,cholesterol_to_total_lipids_in_medium_ldl_percentage,cholesterol_to_total_lipids_in_medium_ldl_percentage,Metabolic,Cholesterol : lipids in M-LDL%,0
23621,cholesteryl_esters_to_total_lipids_in_medium_ldl_percentage,cholesteryl_esters_to_total_lipids_in_medium_ldl_percentage,Metabolic,Cholesteryl esters : lipids in M-LDL%,0
23622,free_cholesterol_to_total_lipids_in_medium_ldl_percentage,free_cholesterol_to_total_lipids_in_medium_ldl_percentage,Metabolic,Free cholesterol : lipids in M-LDL%,0
23623,triglycerides_to_total_lipids_in_medium_ldl_percentage,triglycerides_to_total_lipids_in_medium_ldl_percentage,Metabolic,Triglycerides : lipids in M-LDL%,0
23624,phospholipids_to_total_lipids_in_small_ldl_percentage,phospholipids_to_total_lipids_in_small_ldl_percentage,Metabolic,Phospholipids : lipids in S-LDL%,0
23625,cholesterol_to_total_lipids_in_small_ldl_percentage,cholesterol_to_total_lipids_in_small_ldl_percentage,Metabolic,Cholesterol : lipids in S-LDL%,0
23626,cholesteryl_esters_to_total_lipids_in_small_ldl_percentage,cholesteryl_esters_to_total_lipids_in_small_ldl_percentage,Metabolic,Cholesteryl esters : lipids in S-LDL%,0
23627,free_cholesterol_to_total_lipids_in_small_ldl_percentage,free_cholesterol_to_total_lipids_in_small_ldl_percentage,Metabolic,Free cholesterol : lipids in S-LDL%,0
23628,triglycerides_to_total_lipids_in_small_ldl_percentage,triglycerides_to_total_lipids_in_small_ldl_percentage,Metabolic,Triglycerides : lipids in S-LDL%,0
23629,phospholipids_to_total_lipids_in_very_large_hdl_percentage,phospholipids_to_total_lipids_in_very_large_hdl_percentage,Metabolic,Phospholipids : lipids in VL-HDL%,0
23630,cholesterol_to_total_lipids_in_very_large_hdl_percentage,cholesterol_to_total_lipids_in_very_large_hdl_percentage,Metabolic,Cholesterol : lipids in VL-HDL%,0
23631,cholesteryl_esters_to_total_lipids_in_very_large_hdl_percentage,cholesteryl_esters_to_total_lipids_in_very_large_hdl_percentage,Metabolic,Cholesteryl esters : lipids in VL-HDL%,0
23632,free_cholesterol_to_total_lipids_in_very_large_hdl_percentage,free_cholesterol_to_total_lipids_in_very_large_hdl_percentage,Metabolic,Free cholesterol : lipids in VL-HDL%,0
23633,triglycerides_to_total_lipids_in_very_large_hdl_percentage,triglycerides_to_total_lipids_in_very_large_hdl_percentage,Metabolic,Triglycerides : lipids in VL-HDL%,0
23634,phospholipids_to_total_lipids_in_large_hdl_percentage,phospholipids_to_total_lipids_in_large_hdl_percentage,Metabolic,Phospholipids : lipids in L-HDL%,0
23635,cholesterol_to_total_lipids_in_large_hdl_percentage,cholesterol_to_total_lipids_in_large_hdl_percentage,Metabolic,Cholesterol : lipids in L-HDL%,0
23636,cholesteryl_esters_to_total_lipids_in_large_hdl_percentage,cholesteryl_esters_to_total_lipids_in_large_hdl_percentage,Metabolic,Cholesteryl esters : lipids in L-HDL%,0
23637,free_cholesterol_to_total_lipids_in_large_hdl_percentage,free_cholesterol_to_total_lipids_in_large_hdl_percentage,Metabolic,Free cholesterol : lipids in L-HDL%,0
23638,triglycerides_to_total_lipids_in_large_hdl_percentage,triglycerides_to_total_lipids_in_large_hdl_percentage,Metabolic,Triglycerides : lipids in L-HDL%,0
23639,phospholipids_to_total_lipids_in_medium_hdl_percentage,phospholipids_to_total_lipids_in_medium_hdl_percentage,Metabolic,Phospholipids : lipids in M-HDL%,0
23640,cholesterol_to_total_lipids_in_medium_hdl_percentage,cholesterol_to_total_lipids_in_medium_hdl_percentage,Metabolic,Cholesterol : lipids in M-HDL%,0
23641,cholesteryl_esters_to_total_lipids_in_medium_hdl_percentage,cholesteryl_esters_to_total_lipids_in_medium_hdl_percentage,Metabolic,Cholesteryl esters : lipids in M-HDL%,0
23642,free_cholesterol_to_total_lipids_in_medium_hdl_percentage,free_cholesterol_to_total_lipids_in_medium_hdl_percentage,Metabolic,Free cholesterol : lipids in M-HDL%,0
